歩く（アスファルト）,歩く（アスファルト）,./sound/se/ise/ise_002.wav
走る（アスファルト）,走る（アスファルト）,./sound/se/ise/ise_001.wav
歩く（砂上）,歩く（砂上）,./sound/se/ise/ise_003.wav
走る（砂上）,走る（砂上）,./sound/se/ise/ise_004.wav
歩く（草地）,歩く（草地）,./sound/se/ise/ise_005.wav
走る（草地）,走る（草地）,./sound/se/ise/ise_006.wav
歩く（タイル）,歩く（タイル）,./sound/se/ise/ise_007.wav
走る（タイル）,走る（タイル）,./sound/se/ise/ise_008.wav
歩く（雪上）,歩く（雪上）,./sound/se/ise/ise_009.wav
走る（雪上）,走る（雪上）,./sound/se/ise/ise_010.wav
歩く（枯葉）,歩く（枯葉）,./sound/se/ise/ise_011.wav
走る（枯葉）,走る（枯葉）,./sound/se/ise/ise_012.wav
歩く（水辺）,歩く（水辺）,./sound/se/ise/ise_013.wav
走る（水辺）,走る（水辺）,./sound/se/ise/ise_014.wav
ドアを開く,ドアを開く,./sound/se/ise/ise_101.wav
ドアを閉じる,ドアを閉じる,./sound/se/ise/ise_102.wav
カップを置く,カップを置く,./sound/se/ise/ise_104.wav
水道を捻る,水道を捻る,./sound/se/ise/ise_105.wav
水道水,水道水,./sound/se/ise/ise_106.wav
水をコップに注ぐ,水をコップに注ぐ,./sound/se/ise/ise_107.wav
テレビをつける,テレビをつける,./sound/se/ise/ise_108.wav
電源を消す,電源を消す,./sound/se/ise/ise_109.wav
ホワイトノイズ,ホワイトノイズ,./sound/se/ise/ise_110.wav
タンスを開ける,タンスを開ける,./sound/se/ise/ise_113.wav
棚を開ける,棚を開ける,./sound/se/ise/ise_114.wav
ハサミで切る,ハサミで切る,./sound/se/ise/ise_115.wav
まな板上で切る,まな板上で切る,./sound/se/ise/ise_116.wav
煮込む,煮込む,./sound/se/ise/ise_117.wav
炒める,炒める,./sound/se/ise/ise_118.wav
カーテンの開閉,カーテンの開閉,./sound/se/ise/ise_119.wav
電子音,電子音,./sound/se/ise/ise_120.wav
洗濯機の動作音,洗濯機の動作音,./sound/se/ise/ise_121.wav
ピアノ,ピアノ,./sound/se/ise/ise_125.wav
本をめくる,本をめくる,./sound/se/ise/ise_126.wav
鉛筆で書く,鉛筆で書く,./sound/se/ise/ise_127.wav
新聞を広げる,新聞を広げる,./sound/se/ise/ise_128.wav
お湯がわく,お湯がわく,./sound/se/ise/ise_129.wav
シャワー,シャワー,./sound/se/ise/ise_130.wav
冷蔵庫を開く,冷蔵庫を開く,./sound/se/ise/ise_131.wav
冷蔵庫を閉める,冷蔵庫を閉める,./sound/se/ise/ise_132.wav
目覚ましアラーム１,目覚ましアラーム１,./sound/se/ise/ise_133.wav
目覚ましアラーム２,目覚ましアラーム２,./sound/se/ise/ise_134.wav
電気をつける,電気をつける,./sound/se/ise/ise_135.wav
掃除機,掃除機,./sound/se/ise/ise_136.wav
お金の音,お金の音,./sound/se/ise/ise_137.wav
玄関チャイム,玄関チャイム,./sound/se/ise/ise_138.wav
カラスの鳴き声,カラスの鳴き声,./sound/se/ise/ise_202.wav
フクロウの鳴き声,フクロウの鳴き声,./sound/se/ise/ise_204.wav
